"id","bw0"
"46763","20.4"
"46764","25"
"46765","28.9"
"46766","25.1"
"46767","19.9"
"46768","25.9"
"46769","24.9"
"46770","26.2"
"46771","24.1"
"46772","23.7"
"46773","20.8"
"46774","26.9"
"46775","26.7"
"46776","24.8"
"46777","27.9"
"46778","28.9"
"46779","23.8"
"46780","16.4"
"46781","22.5"
"46782","21.2"
"46783","24"
"46784","27"
"46785","24.4"
"46786","22.7"
"46787","24.3"
"46788","22.7"
"46789","23.7"
"46790","24.5"
"46791","27.9"
"46792","22.3"
"46794","24.7"
"46795","19.2"
"46796","28"
"46797","26.7"
"46798","22.6"
"46799","25"
"46800","27.7"
"46801","23.3"
"46802","26.7"
"46803","24.5"
"46804","24.3"
"46805","27"
"46806","25.2"
"46807","26.2"
"46808","25.7"
"46809","28"
"46810","27"
"46811","30"
"46812","23.6"
"46813","28.6"
"46814","30.4"
"46815","25"
"46816","25.6"
"46817","25.6"
"46818","28.1"
"46819","26.8"
"46820","27.1"
"46821","26.5"
"46822","22.9"
"46823","25.5"
"46824","26.1"
"46825","24.7"
"46826","25.6"
"46827","25"
"46828","23.3"
"46829","28.9"
"46830","27.6"
"46831","23.1"
"46832","30"
"46833","26"
"46834","31.6"
"46835","26"
"46836","25.5"
"46837","29.1"
"46838","25.9"
"46839","23.7"
"46840","23.9"
"46841","23.3"
"46842","24.2"
"46843","24.2"
"46845","24.5"
"46846","29.2"
"46847","23.4"
"46848","26.2"
"46849","27.7"
"46861","23.8"
"46862","23.9"
"46863","23.7"
"46864","22.5"
"46865","23.9"
"46866","24.1"
"46867","24.8"
"46868","23.2"
"46876","29.7"
"46877","25.6"
"46878","20.5"
"46879","22.9"
"46880","27.1"
"46881","24.8"
"46882","20.9"
"46883","26.1"
"46884","24"
"46885","25.5"
"46886","27.1"
"46887","25"
"46888","22.7"
"46889","24.7"
"46890","23.7"
"46891","24.4"
"46892","23.5"
"46893","22.1"
"46894","26.3"
"46895","24.5"
"46896","28.5"
"46897","23.3"
"46898","23.5"
"47001","24.4"
"47002","23.7"
"47003","28"
"47004","21.9"
"47005","26.3"
"47006","23.3"
"47007","23.9"
"47008","24.4"
"47009","24.2"
"47010","25.6"
"47011","27.6"
"47012","27.8"
"47013","27.9"
"47014","22.4"
"47015","27.4"
"47016","21.3"
"47017","24.6"
"47018","18.8"
"47019","24.1"
"47020","22.6"
"47021","24.7"
"47022","25.3"
"47023","26.6"
"47024","23.4"
"47025","26.8"
"47026","26.1"
"47027","30.9"
"47028","26.9"
"47029","27.6"
"47030","27"
"47031","29.6"
"47032","25.9"
"47033","26.7"
"47034","29.8"
"47035","28.8"
"47036","29.7"
"47037","21.2"
"47038","26.8"
"47039","26.6"
"47040","30.5"
"47041","25.8"
"47042","26.2"
"47043","23.8"
"47044","25.3"
"47045","23.4"
"47046","27.4"
"47047","26.8"
"47048","22.4"
"47049","26.6"
"47050","24.6"
"47051","22.9"
"47052","27.6"
"47053","26.6"
"47054","27.5"
"47055","27.9"
"47056","30.9"
"47057","23.1"
"47058","24.6"
"47059","27.7"
"47060","23.8"
"47061","26.3"
"47062","29.8"
"47063","30.3"
"47064","28.8"
"47065","27.4"
"47066","25.9"
"47067","26.2"
"47068","25.3"
"47069","27"
"47070","25.9"
"47071","27.1"
"47072","28.4"
"47073","26.7"
